VSL_IMO_NUMBER,VSL_NAME,Average of BL Cons,BASE LINE BL Port FOC (MT/DAY),Count of Type,Average of Tsw,Type,Primary Manager,Potential,Count of VSL_IMO_NUMBER
9520833,Anglo Marimar,1.8300329235765909,0.7,46,25.67391304347826,Bulk Carrier,CYP SMC,-14073.410070124277,46
9665671,Clemens Schulte,1.843447576512826,1.5,23,25.304347826086957,Container Ship,HK SMC,4981.41104618686,23
9917555,Lng Harmony,1.8625154055657838,1.008,7,19.428571428571427,LNG Carrier,GR SMC,-1360,7
9576789,Reinhold Schulte,1.8651090010186793,1.3,11,14.454545454545455,Tanker,SG SMC,-5338.382186044692,11
9850800,EVER FAME,1.8723604474303195,2.5,23,18.695652173913043,Container Ship,HK SMC,53003.22555264949,23
9743497,Matthew Schulte,1.8816025912910856,1,24,19.333333333333332,Container Ship,HK SMC,-46269.41058335692,24
9676735,Mia Schulte,1.88454198795814,1,24,24.125,Container Ship,HK SMC,-4571.264913761397,24
9532537,Ore Hebei,1.904489795918367,1.023,31,27.806451612903224,Bulk Carrier,IN SMC,-19583.51020408163,31
9342700,Wan Hai 316,1.9047279775889487,1,27,23.555555555555557,Container Ship,CN SMC,-32593.604813716298,27
9860128,Golden Furious,1.918654996165834,0.8,32,12.8125,Bulk Carrier,SG SMC,-35564.49176272695,32
9667540,Mistral,1.9309764003881653,0.78,6,25.833333333333332,LPG Carrier,SG SMC,-20363.731780672955,6
9617947,SFL Yangtze,1.937498987795708,1.44,34,26.147058823529413,Bulk Carrier,SG SMC,8212.88495575221,34
9440772,ANL Warrnambool,1.9522665323126507,1.3,17,16.352941176470587,Container Ship,DE SMC,18362.504240576138,17
9595591,NGM Glory,1.9733333333333334,1.08,10,24,Bulk Carrier,GR SMC,-4192.000000000001,10
9535204,Hubert Schulte,1.9887066307407768,1.5,23,16.217391304347824,Container Ship,HK SMC,-6346.335802207685,23
9660566,Anglo Barinthus,2.007253740815021,0.7,22,16.454545454545453,Bulk Carrier,CYP SMC,-11777.688411707799,22
9895800,Nordic Siku,2.00940170940171,1.1,21,10.571428571428571,Bulk Carrier,CYP SMC,-10214.945054945056,21
9938511,Pacificator,2.0105432595573443,0.6557999999999999,71,24.225352112676056,LPG Carrier,GR SMC,-200130.2857142857,71
9552408,NGM Bond,2.0204635167464113,1.08,16,19.75,Bulk Carrier,GR SMC,-9853.652312599683,16
9938523,Legislator,2.0902639958911147,0.6557999999999999,11,20.545454545454547,LPG Carrier,GR SMC,-46107.51638418079,11
9686388,Avance Levant,2.1002197802197804,0.78,5,19.2,LPG Carrier,SG SMC,-11522.637362637362,5
9760770,Marvel Hawk,2.1004587155963304,,4,28.5,LNG Carrier,UK SMC,-11216.146788990825,4
9747780,FMG Grace,2.1007286238170817,1.3,16,25.6875,Bulk Carrier,HK SMC,-23016.813534997935,16
9889916,Orion Sun,2.1151766482357384,0.738,12,21.5,LNG Carrier,GR SMC,-2615.1702085137567,12
9576765,Rudolf Schulte,2.1162704207233745,1.3,21,28.761904761904763,Tanker,SG SMC,-3174.5998473700365,21
9623661,RDO Favour,2.1187717542515414,1.3,23,28.08695652173913,Container Ship,DE SMC,14757.531607473566,23
9239862,Flora Delmas,2.12774869861258,1,25,28.8,Container Ship,DE SMC,-21402.92572944704,25
9301926,Lucie Schulte,2.1456084569835463,1,20,21.65,Container Ship,GR SMC,-8157.992880653251,20
9215323,W Kithira,2.177679895813974,1.7,17,20.529411764705884,Container Ship,CYP SMC,-14053.243804402957,17
9938535,Mercator,2.181252798769175,0.7,11,23.90909090909091,LPG Carrier,GR SMC,-53786.46299651568,11
9892133,LNG Geneva,2.1837199837199837,1.266,6,11.5,LNG Carrier,GR SMC,-764.4444444444445,6
9804904,Chemstar Sapphire,2.1969526570808937,1.6575,20,14.6,Tanker,SG SMC,-23483.350483938542,20
9937531,TS Dubai,2.2039332298229,,38,15.289473684210526,Container Ship,HK SMC,-114152.87485052705,38
9328493,Gottfried Schulte,2.2285343122330623,1,61,26.16393442622951,Container Ship,CN SMC,-57532.17438445108,61
9698654,San Francisca,2.248051102901382,2.5,19,26.31578947368421,Container Ship,SG SMC,-49297.529980776875,19
9706279,CNC Bangkok,2.2557281075533506,1,27,28.296296296296298,Container Ship,DE SMC,-34464.10323182937,27
9732591,Maersk Sarat,2.2961796231927125,2.5,22,20.954545454545453,Container Ship,SG SMC,-5586.989301992737,22
9605231,MSC Dakar X,2.32428688804941,2.5,27,18.51851851851852,Container Ship,HK SMC,-91805.79042500247,27
9793234,Vega Sea,2.343695014662756,0.87,11,20.636363636363637,LPG Carrier,SG SMC,-20100.645161290322,11
9403310,PIS Paragon,2.3483154121863796,1.5,18,23.666666666666668,Tanker,SG SMC,-18999.483870967742,18
9363792,Island Express,2.356890837507683,2.61,21,27.095238095238095,Tanker,SG SMC,-16723.04203308012,21
9728253,Maersk Shivling,2.358385590563866,2.5,20,16.85,Container Ship,CYP SMC,38840.21608493527,20
9301938,Hannah Schulte,2.373493795328973,1,37,27.56756756756757,Container Ship,GR SMC,-38929.159933646304,37
9552800,Topaz Express,2.383157894736842,1.3,5,21.8,Tanker,SG SMC,-5549.473684210527,5
9747792,FMG Sophia,2.394074341653209,1.3,17,21.470588235294116,Bulk Carrier,HK SMC,-17549.2608689947,17
9426295,PIS Polaris,2.3977011494252873,1.5,3,23,Tanker,SG SMC,-2013.7931034482758,3
9576753,Rebecca Schulte,2.402597402597402,1.3,7,21,Tanker,SG SMC,14.54545454545513,7
